id,uri,siglaTipo,codTipo,numero,ano,ementa
2482156,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482156,PL,139,27,2025,"Institui a Declaração Nacional de Direitos de Liberdade Econômica dos Povos Indígenas e o Programa Nacional de Fomento à Produção Agrossilvipastoril empreendida por indígenas, suas comunidades ou suas organizações, dentro ou fora dos territórios que legalmente ocupam (AGRO-INDÍGENA)."
2482157,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482157,PL,139,28,2025,Dispõe sobre a fixação de um teto para os preços de ingressos em jogos de futebol e competições esportivas no território nacional e dá outras providências.
2482162,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482162,PL,139,29,2025,"Permite a dedução, da base de cálculo do imposto de renda das pessoas físicas, dos pagamentos efetuados no ano-calendário a hospitais veterinários e médicos veterinários, para tratamento de animais domésticos, alterando a redação do art. 8º da Lei nº 9.250, de 26 de dezembro de 1995."
2482171,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482171,PL,139,30,2025,Dispõe sobre a criação do Fundo Nacional de Manutenção de Obras de Arte Especiais (FNMOAE) e dá outras providências.
2482173,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482173,PL,139,31,2025,Dispõe sobre a obrigatoriedade de elaboração de planos de emergência para obras de arte especiais no território nacional e dá outras providências.
2482176,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482176,PL,139,32,2025,Dispõe sobre a obrigatoriedade de rotinas técnicas de inspeção de obras de arte especiais no território nacional e dá outras providências.
2482178,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482178,PL,139,33,2025,Declara as Folias do Divino Espírito Santo realizadas no Estado do Tocantins como manifestação da cultura nacional.
2482180,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482180,PL,139,36,2025,"Altera a Lei nº 13.709, de 14 de agosto de 2018 (Lei Geral de Proteção de Dados – LGPD), para proibir a oferta mediante pagamento de disponibilidade de dados biométricos sensíveis e estabelecer medidas mais rigorosas de proteção a esses dados."
2482183,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482183,PL,139,37,2025,"Declara o Ofício das Quebradeiras de Coco Babaçu nos Estados de Tocantins, Maranhão, Piauí e Pará como Manifestação da Cultura Nacional."
2482207,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482207,PL,139,40,2025,"Altera o art. 1º da Lei nº 7.716, de 5 de janeiro de 1989, para incluir a discriminação ou preconceito por misoginia e misandria no rol de práticas sujeitas à punição."
2482215,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482215,PL,139,42,2025,"Acrescenta o Inciso IV ao caput do art. 1.814 da Lei nº 10.406, de 10 de janeiro de 2002, Código Civil, para estabelecer hipóteses de indignidade sucessória aos autores de crime de ofensa à integridade física decorrente de violência doméstica, de abandono de incapaz ou de violação da obrigação de alimentos contra a pessoa de cuja sucessão se tratar, e dá outras providências."
2482217,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482217,PL,139,43,2025,"Inclui artigo na Lei nº 7.210, de 11 de julho de 1984, Lei de Execução Penal, para dispor sobre reembolso, pela União, aos entes federados, no caso de execução de pena, em estabelecimento penitenciário estadual ou do Distrito Federal, decorrente de decisão da Justiça Federal, e dá outras providências."
2482220,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482220,PL,139,44,2025,"Dispõe sobre os critérios a serem adotados para diagnóstico da obesidade para fins de acesso a políticas e serviços públicos de saúde, e dá outras providências."
2482223,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482223,PL,139,45,2025,"Acrescenta o art. 39 A à Lei n° 8.078, de 11 de setembro de 1990, para dispor sobre a obrigatoriedade do troco na prestação de serviços ou compra e venda de produtos, e dá outras providências."
2482225,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482225,PL,139,46,2025,"Acrescenta o § 7º ao art. 8º da Lei n° 13.709, de 14 de agosto de 2018, para dispor sobre vedação de pagamento ou promessa de pagamento financeiro ou patrimonial de qualquer natureza para obtenção do consentimento para acesso a dado sensível, e dá outras providências."
2482228,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482228,PL,139,48,2025,"Altera a Lei nº 10.222, de 9 maio de 2001, para atualizar as normas de padronização de volume de áudio das transmissões de rádio e televisão nos espaços dedicados à propaganda, e dá outras providências."
2482230,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482230,PL,139,50,2025,"Inclui o art. 5º A na Lei nº 6.938, de 31 de agosto de 1981, para dispor sobre as atividades de prospecção e exploração de recursos minerais nos fundos oceânicos, e dá outras providências."
2482236,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482236,PL,139,52,2025,"Altera a Lei nº 15.068, de 23 de dezembro de 2024, para dispor sobre os bancos comunitários, e dá outras providências."
2482249,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482249,PL,139,54,2025,"Altera a Lei nº 9.613, de 3 março de 1998, para prever o crime de omissão, retardo ou fraude de dado de comunicação obrigatória, e dá outras providências."
2482250,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482250,PL,139,55,2025,"Acrescenta artigo à Lei nº 10.741, de 1º de outubro de 2003, para garantir direito de acesso a programas de adaptação dos domicílios às pessoas idosas, e dá outras providências."
2482252,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482252,PL,139,56,2025,Dispõe sobre a proibição da divulgação do nome de produtos químicos utilizados em casos de envenenamento nas matérias jornalísticas e outras formas de comunicação pública.
2482258,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482258,PL,139,58,2025,"Altera o art. 20 da Lei nº 7.716, de 5 de janeiro de 1989, para tipificar como crime a prática de saudações nazistas e qualquer outro gesto que incite crimes de ódio."
2482264,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482264,PL,139,60,2025,"Altera dispositivos da Lei n.º 9.394, de 20 de dezembro de 1996, que estabelece as diretrizes e bases da educação nacional, para regulamentar a eleição direta para diretores e vice-diretores das escolas públicas de educação básica."
2482266,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482266,PL,139,62,2025,"Altera a Lei nº 9.503, de 23 de setembro de 1997, que institui o Código de Trânsito Brasileiro, para dispor sobre a utilização de material audiovisual produzido por cidadãos na comprovação de infrações de trânsito."
2482267,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482267,PL,139,63,2025,"Altera a Lei n° 12.527, de 18 de novembro de 2011, para estabelecer o dever de publicidade e transparência dos gastos realizados pela Administração Pública Federal, Estadual e Municipal por meio de Cartão Corporativo, em todas as despesas acima de R$5.000,00."
2482269,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482269,PL,139,65,2025,"Institui a obrigatoriedade de cláusula contratual que proíba expressamente a promoção de apologia ao crime organizado, ao uso de drogas e à violência contra a mulher em shows e eventos abertos ao público infantojuvenil nos contratos celebrados pela Administração Pública, e dá outras providências."
2482273,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482273,PL,139,66,2025,"Autoriza o Poder Executivo a instituir o produto lotérico denominado “LotoPet”; e altera a Lei nº 13.756, de 12 de dezembro de 2018, para dispor sobre a destinação do produto da arrecadação da referida loteria e dos valores dos prêmios não reclamados pelos apostadores contemplados no prazo de prescrição."
2482274,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482274,PL,139,67,2025,"Altera a Consolidação das Leis do Trabalho e a Lei nº 12.790, de 14 de março de 2013, para estabelecer que a duração normal do trabalho não poderá exceder quarenta horas semanais e para garantir ao menos dois dias semanais de repouso remunerado aos trabalhadores."
2482275,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482275,PL,139,68,2025,"Altera a Lei nº 14.192, de 2021, que dispõe sobre a violência política de gênero, e a Lei nº 4.737, de 1965 (Código Eleitoral), para incluir medidas específicas de proteção e apoio a mulheres em espaços de poder que sofram violência política de gênero."
2482276,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482276,PL,139,69,2025,"Altera o Decreto-Lei 2.848 de 7 de dezembro de 1940- Código Penal, a Lei 11.340 de 7 de agosto de 2006 - Lei Maria da Penha, e a Lei 10.741 de 1º de outubro de 2003 – Estatuto do Idoso, para tipificar o estelionato sentimental como crime de alto potencial ofensivo, tornando-o um crime separado e aumentando a pena, destacando a gravidade do crime."
2482278,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2482278,PL,139,71,2025,"Altera a Lei 10.048, de 8 de novembro de 2000 para estabelecer a obrigatoriedade de reserva de assentos para pessoas obesas no transporte coletivo."
