idProposicao,idAutor
2482075,179000
2482076,179000
2482079,220686
2482081,220686
2482081,220540
2482103,204388
2482103,220654
2482103,220570
2482103,178871
2482103,220551
2482103,204472
2482103,74585
2482103,220547
2482103,220655
2482103,220530
2482103,220693
2482103,230767
2482103,165470
2482103,204387
2482103,220621
2482103,220597
2482103,220558
2482106,80815
2482108,80815
2482114,178871
2482116,178871
2482117,178871
2482120,178871
2482121,178871
2482122,178871
2482124,178989
2482126,178989
2482128,178989
2482131,204526
2482135,204412
2482138,204412
2482140,178989
2482155,178989
2482156,220706
2482157,178989
2482162,141464
2482171,220543
2482173,220543
2482176,220543
2482178,220543
2482180,220543
2482183,220543
2482207,220530
2482215,73579
2482217,73579
2482220,73579
2482223,73579
2482225,73579
2482228,73579
2482230,73579
2482236,73579
2482249,73579
2482250,73579
2482252,137070
2482258,220623
2482264,74398
2482266,160599
2482267,204536
2482269,220630
2482273,220659
2482274,74057
2482274,220555
2482274,74060
2482274,230765
2482274,74848
2482274,81055
2482274,178987
2482274,73801
2482275,220555
2482276,220707
2482276,220549
2482276,206018
2482276,226179
2482276,74856
2482276,220566
2482276,220580
2482276,221338
2482276,220695
2482276,104552
2482276,220564
2482278,104552
2482279,104552
2482280,220659
2482281,66385
2482290,219585
2482292,73778
2482294,220659
2482296,162067
2482298,160673
2482300,162067
2482301,220659
2482306,220659
2482309,160673
2482311,220644
2482318,220563
2482373,88256
2482375,160673
2482378,220558
2482380,178829
2482383,178989
2482384,220569
2482385,220569
2482386,74478
2482387,178829
2482388,220651
2482390,178947
2482392,220605
2482392,72442
2482392,220667
2482395,204367
2482402,204482
2482404,204378
2482405,220586
2482406,220607
2482411,220597
2482412,220597
2482415,220597
2482416,98615
2482417,220578
2482418,220686
2482423,160604
2482425,204550
2482427,73579
2482427,220576
2482427,178829
2482427,204378
2482427,220590
2482427,220659
2482427,220673
2482427,204512
2482427,178871
2482427,220545
2482427,220551
2482427,204473
2482427,220568
2482427,74273
2482427,204536
2482427,204455
2482427,133810
2482427,220655
2482427,220609
2482427,220550
2482427,204406
2482427,220693
2482427,220644
2482427,204387
2482428,74262
2482432,137070
2482438,178972
2482444,220540
2482448,220540
2482465,220548
2482465,206018
2482465,74171
2482465,220645
2482465,204407
2482465,152605
2482465,220639
2482465,73531
2482465,74784
2482465,220615
2482465,221338
2482465,204535
2482465,204464
2482465,220598
2482468,220540
2482469,220540
2482470,220645
2482471,220645
2482475,220569
2482477,220686
2482477,220540
2482492,160673
2482493,220686
2482493,220540
2482494,220618
2482495,220618
2482496,220618
2482499,220618
2482500,220540
2482502,204407
2482502,152605
2482502,204535
2482511,160673
2482518,178954
2482519,220540
2482528,178954
2482531,178954
2482532,178954
2482534,178954
2482546,220607
2482550,220607
2482555,220639
2482557,220712
2482568,204528
2482570,204528
2482572,204528
2482573,204528
2482574,204528
2482574,220633
2482575,204528
2482575,220633
2482576,204528
2482576,220633
2482577,204528
2482577,220633
2482578,204528
2482578,204365
2482578,220633
2482579,204528
2482579,204365
2482579,220633
2482580,204528
2482580,220633
2482581,204528
2482582,204528
2482583,204528
2482587,74041
2482589,160548
2482591,160548
2482592,160548
2482594,220529
2482596,220529
2482597,74856
2482598,74856
2482602,220529
2482604,74084
2482605,220639
2482609,220529
2482610,213762
2482615,204553
2482616,204553
2482618,74856
2482624,220645
2482628,204374
2482628,204507
2482628,220712
2482628,220559
2482628,204525
2482628,178946
2482633,74856
2482636,74856
2482637,74856
2482640,74158
2482642,74856
2482644,210989
2482648,220656
2482649,74158
2482652,74158
2482655,206018
2482655,220645
2482655,204407
2482655,152605
2482655,220639
2482655,73531
2482655,74784
2482655,220615
2482655,221338
2482655,204535
2482655,204464
2482655,220598
2482655,157130
2482656,220659
2482657,204410
2482658,204410
2482659,204410
2482660,204410
2482662,204410
2482663,210989
2482664,220607
2482665,220594
2482666,220594
2482667,220594
2482668,220594
2482669,220594
2482671,74856
2482672,220550
2482673,210989
2482677,204511
2482678,204511
2482679,204511
2482682,220550
2482684,73531
2482684,204464
2482687,136811
2482687,220538
2482687,160559
2482687,220549
